Location,Iso3,Value,type
Saudi Arabia,SAU,3.207653,Fertility
Saudi Arabia,SAU,3.177374,Fertility
Saudi Arabia,SAU,3.057317,Fertility
Saudi Arabia,SAU,2.951557,Fertility
Saudi Arabia,SAU,2.853469,Fertility
Saudi Arabia,SAU,2.813959,Fertility
Saudi Arabia,SAU,2.779736,Fertility
Saudi Arabia,SAU,2.736966,Fertility
Saudi Arabia,SAU,2.686402,Fertility
Saudi Arabia,SAU,2.636538,Fertility
Saudi Arabia,SAU,2.589822,Fertility
Saudi Arabia,SAU,2.583919,Fertility
Saudi Arabia,SAU,2.545503,Fertility
Saudi Arabia,SAU,2.503778,Fertility
Saudi Arabia,SAU,2.464887,Fertility
Saudi Arabia,SAU,2.426647,Fertility
Saudi Arabia,SAU,2.39252,Fertility
Saudi Arabia,SAU,2.357519,Fertility
Singapore,SGP,6.248408,Fertility
Singapore,SGP,6.286661,Fertility
Singapore,SGP,6.429874,Fertility
Singapore,SGP,6.569103,Fertility
Singapore,SGP,6.589642,Fertility
Singapore,SGP,6.436875,Fertility
Singapore,SGP,6.525848,Fertility
Singapore,SGP,6.487314,Fertility
Singapore,SGP,6.366913,Fertility
Singapore,SGP,6.096546,Fertility
Singapore,SGP,5.762373,Fertility
Singapore,SGP,5.552868,Fertility
Singapore,SGP,5.343455,Fertility
Singapore,SGP,5.263324,Fertility
Singapore,SGP,5.085204,Fertility
Singapore,SGP,4.665463,Fertility
Singapore,SGP,4.503262,Fertility
Singapore,SGP,4.001737,Fertility
Singapore,SGP,3.597936,Fertility
Singapore,SGP,3.279605,Fertility
Singapore,SGP,3.073432,Fertility
Singapore,SGP,3.00016,Fertility
Singapore,SGP,3.025925,Fertility
Singapore,SGP,2.794707,Fertility
Singapore,SGP,2.362669,Fertility
Singapore,SGP,2.078844,Fertility
Singapore,SGP,2.10168,Fertility
Singapore,SGP,1.83322,Fertility
Singapore,SGP,1.804034,Fertility
Singapore,SGP,1.794484,Fertility
Singapore,SGP,1.810268,Fertility
Singapore,SGP,1.714136,Fertility
Singapore,SGP,1.667854,Fertility
Singapore,SGP,1.550889,Fertility
Singapore,SGP,1.547101,Fertility
Singapore,SGP,1.592557,Fertility
Singapore,SGP,1.371536,Fertility
Singapore,SGP,1.49733,Fertility
Singapore,SGP,1.732505,Fertility
Singapore,SGP,1.561064,Fertility
Singapore,SGP,1.794919,Fertility
Singapore,SGP,1.518368,Fertility
Singapore,SGP,1.495314,Fertility
Singapore,SGP,1.509222,Fertility
Singapore,SGP,1.491498,Fertility
Singapore,SGP,1.646177,Fertility
Singapore,SGP,1.454336,Fertility
Singapore,SGP,1.581126,Fertility
Singapore,SGP,1.30021,Fertility
Singapore,SGP,1.268891,Fertility
Singapore,SGP,1.557487,Fertility
Singapore,SGP,1.226325,Fertility
Singapore,SGP,1.357613,Fertility
Singapore,SGP,1.276558,Fertility
Singapore,SGP,1.258889,Fertility
Singapore,SGP,1.260198,Fertility
Singapore,SGP,1.279626,Fertility
Singapore,SGP,1.288676,Fertility
Singapore,SGP,1.279517,Fertility
Singapore,SGP,1.222219,Fertility
Singapore,SGP,1.160618,Fertility
Singapore,SGP,1.200852,Fertility
Singapore,SGP,1.275822,Fertility
Singapore,SGP,1.196963,Fertility
Singapore,SGP,1.24543,Fertility
Singapore,SGP,1.224836,Fertility
Singapore,SGP,0.997416,Fertility
Singapore,SGP,0.954173,Fertility
Singapore,SGP,0.945516,Fertility
Singapore,SGP,0.9621,Fertility
Singapore,SGP,0.995701,Fertility
Singapore,SGP,1.024337,Fertility
Singapore,SGP,1.034626,Fertility
Singapore,SGP,1.042623,Fertility
Viet Nam,VNM,5.175383,Fertility
Viet Nam,VNM,4.651237,Fertility
Viet Nam,VNM,5.507036,Fertility
Viet Nam,VNM,5.273586,Fertility
Viet Nam,VNM,5.826952,Fertility
Viet Nam,VNM,5.535492,Fertility
Viet Nam,VNM,5.621051,Fertility
Viet Nam,VNM,6.152269,Fertility
Viet Nam,VNM,6.21041,Fertility
Viet Nam,VNM,6.263978,Fertility
Viet Nam,VNM,6.280086,Fertility
